order_id,order_status,order_source,order_date,category,sku,quantity,sales,city
14094,Shipped,Web,2025-03-01,HNS,201-15,1,1990,Karachi
1413666,Shipped,Whatsapp,2025-08-02,HNS,201-15,1,1990,Karachi
14367,Shipped,Web,2025-11-02,HNS,201-15,1,1990,Karachi
14603,Shipped,Web,2025-08-04,HNS,201-15,1,1990,Karachi
146033,Shipped,Web,2025-08-04,HNS,201-15,1,1990,Karachi
14624,Shipped,Web,2025-10-04,HNS,201-15,1,1990,Karachi
14115,Shipped,Web,2025-06-01,HNS,201-18,1,2190,Karachi
14353,Shipped,Web,2025-08-02,CK,Silent18,1,2190,Karachi
14584,Shipped,Web,2025-06-04,HNS,201-18,1,2190,Karachi
14598,Shipped,Web,2025-08-04,HNS,101-15,1,2190,Karachi
5479,Shipped,Whatsapp,2025-02-05,HNS,001-12,1,2190,Karachi
14080,Shipped,Web,2025-01-01,HNS,101-15,1,2590,Karachi
14366,Shipped,Web,2025-10-02,HNS,101-15,1,2590,Karachi
14574,Shipped,Web,2025-04-04,HNS,001-12,1,2590,Karachi
14579,Shipped,Web,2025-05-04,HNS,101-15,1,2590,Karachi
14615,Shipped,Web,2025-09-04,HNS,101-15,1,2590,Karachi
14629,Shipped,Web,2025-10-04,HNS,201-18,1,2590,Karachi
14634,Shipped,Web,2025-11-04,HNS,001-12,1,2590,Karachi
14715,Shipped,Web,2025-03-05,HNS,101-15,1,2590,Karachi
14728,Shipped,Web,2025-09-05,HNS,101-15,1,2590,Karachi
14592,Shipped,Web,2025-07-04,HNS,101-18,1,2890,Karachi
14138,Shipped,Web,2025-11-01,HNS,101-18,1,3390,Karachi
14602,Shipped,Web,2025-08-04,HNS,103-18,1,3390,Karachi
14632,Shipped,Web,2025-11-04,HNS,103-18,1,3390,Karachi
14709,Shipped,Web,2025-01-05,HNS,001-15,1,3390,Karachi
14745,Shipped,Web,2025-12-05,HNS,101-18,1,3390,Karachi
14824,Shipped,Web,2025-09-06,HNS,101-18,1,3690,Karachi
14154,Shipped,Web,2025-12-01,CK,DIY,1,900,Lahore
14338,Shipped,Web,2025-05-02,WD,Oval,1,990,Lahore
14605,Shipped,Web,2025-09-04,CK,Geo12,1,1090,Lahore
14623,Shipped,Web,2025-10-04,CK,Simply12,1,1090,Lahore
